TMJA;LANES;TYPE TRAIT;HAS SHOULDER;VITESSE LIMITE;TR;P_PENETRANTE;P_PEAGE;P_AIRE_SERVICE;ENTREE VILLE;DMU;SCORE;Image
10588;6;Discontinue;no;60;0;Non;Non;Non;Non;14;1;Intersection.1.png
10588;6;Discontinue;no;60;0;Non;Non;Non;Non;14;1;Intersection.4.png
11003;3;Continue;no;80;2;Non;Non;Non;Oui;2;1;Intersection.7.png
11003;2;Continue;no;80;2;Non;Non;Non;Oui;2;1;Intersection.10.png
4786;2;Continue;no;60;2;Non;Non;Non;Oui;1;1;Intersection.13.png
3727;2;Discontinue;no;60;0;Non;Non;Non;Non;6;1;Intersection.16.png
10033;2;Continue;no;60;2;Non;Non;Non;Oui;1;0;Intersection.19.png
10033;2;Continue;no;60;2;Non;Non;Non;Oui;1;0;Intersection.22.png
10033;4;Discontinue;yes;60;14;Non;Non;Non;Non;12;0;Intersection.25.png
15628;2;Continue;no;60;10;Non;Non;Non;Non;9;1;Intersection.28.png
15628;3;Discontinue;no;60;1;Non;Non;Non;Oui;1;1;Intersection.31.png
7155;2;Discontinue;no;80;4;Non;Non;Non;Oui;1;0;Intersection.34.png
10693;4;Discontinue;Yes;60;1;Non;Non;Non;Oui;1;1;Intersection.37.png
10693;4;Discontinue;Yes;60;1;Non;Non;Non;Oui;1;0;Intersection.40.png
7500;2;Discontinue;no;80;3;Non;Non;Non;Oui;2;1;Intersection.43.png
13840;2;Continue;no;80;0;Non;Non;Non;Oui;1;1;Intersection.46.png
13840;2;Continue;no;80;0;Non;Non;Non;Oui;1;1;Rectiligne.49.png
6068;2;Discontinue;no;80;0;Non;Non;Non;Non;6;1;Rectiligne.52.png
3184;2;Discontinue;no;60;4;Non;Non;Non;Oui;1;1;Rectiligne.55.png
2942;2;Discontinue;no;100;3;Non;Non;Non;Non;6;0;Rectiligne.58.png
2942;2;Continue;no;60;1;Non;Non;Non;Oui;1;1;Rectiligne.61.png
2077;2;Discontinue;no;60;1;Non;Non;Non;Oui;1;1;Rectiligne.64.png
2864;4;Discontinue;no;60;2;Non;Non;Non;Oui;3;1;Rectiligne.67.png
2864;3;Discontinue;no;60;2;Non;Non;Non;Oui;3;1;Rectiligne.70.png
2843;2;Continue;no;60;3;Non;Non;Non;Oui;2;1;Rectiligne.73.png
2843;2;Discontinue;no;80;3;Non;Non;Non;Oui;2;1;Rectiligne.76.png
2857;2;Discontinue;no;80;1;Non;Non;Non;Oui;1;1;Rectiligne.79.png
2857;2;Discontinue;no;80;1;Non;Non;Non;Oui;1;1;Rectiligne.82.png
1343;2;Continue;no;60;6;Non;Non;Non;Non;5;1;Rectiligne.85.png
1734;2;Continue;no;60;2;Non;Non;Non;Oui;2;1;Rectiligne.88.png
4293;2;Continue;no;60;3;Non;Non;Non;Oui;1;0;Rectiligne.91.png
11166;2;Discontinue;no;80;2;Non;Non;Non;Oui;4;1;Rectiligne.94.png
14179;4;Discontinue;Yes;80;2;Non;Non;Non;Oui;8;0;Rectiligne.97.png
18788;2;Discontinue;no;60;2;Non;Non;Non;Oui;1;0;Rectiligne.100.png
18788;2;Discontinue;no;60;2;Non;Non;Non;Oui;1;0;Rectiligne.103.png
16264;2;Continue;no;60;8;Non;Non;Non;Oui;1;1;Intersection.106.png
16264;2;Discontinue;no;60;8;Non;Non;Non;Oui;1;1;Intersection.109.png
6077;2;Discontinue;no;100;7;Non;Non;Non;Oui;4;1;Intersection.112.png
6077;2;Continue;no;80;7;Non;Non;Non;Oui;4;1;Intersection.115.png
5538;2;Discontinue;no;100;1;Non;Non;Non;Oui;1;0;Intersection.118.png
5538;2;Discontinue;no;100;0;Non;Non;Non;Oui;1;0;Intersection.121.png
